datetime,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10
2010-01-01 00:00,0.065,0.03264,0.1111,0.07526,0.15104,0.08892,0.10498,0.01403,0.09112,0.07434
2010-01-01 01:00,0.04225,0.05148,0.05264,0.07375,0.03828,0.0589,0.11904,0.00495,0.0392,0.01815
2010-01-01 02:00,0.0096,0.00988,0.0162,0.02928,0.01323,0.02688,0.09782,0.0059,0.0186,0.00696
2010-01-01 03:00,0.00456,0.01431,0.00671,0.01003,0.0064,0.01254,0.05628,0.00496,0.00884,0.00693
2010-01-01 04:00,0.01218,0,0,0.00256,0.00513,0,0.01612,0.00945,0,0
2010-01-01 05:00,0.00265,0.00275,0,0.00195,0.0077,0.0026,0.0024,0.01008,0.00855,0.00605
2010-01-01 06:00,0.00165,0.001102,0.001431,0.000122,0.00156,0.002592,0.000682,0.00729,0.002624,0.001488
2010-01-01 07:00,0.039962,0.014672,0.008308,0.001276,0.028614,0.02002,0.000885,0.024766,0.01296,0.011252
2010-01-01 08:00,0.064,0.05018,0.02196,0.005208,0.056,0.032032,0.003286,0.038164,0.031694,0.042294
2010-01-01 09:00,0.039704,0.06,0.062,0.016956,0.040832,0.065,0.01628,0.057,0.062,0.055
2010-01-01 10:00,0.008109,0.0192,0.060903,0.062,0.01771,0.016704,0.058,0.014404,0.027075,0.034079
2010-01-01 11:00,0.00594,0.012375,0.019296,0.02847,0.014448,0.01242,0.05427,0.009006,0.01554,0.022165
2010-01-01 12:00,0.09636,0.11935,0.1197,0.10048,0.13132,0.10368,0.18104,0.0247,0.10088,0.06
2010-01-01 13:00,0.12312,0.10296,0.11024,0.0642,0.09548,0.14756,0.12975,0.04929,0.1232,0.09945
2010-01-01 14:00,0.17596,0.31463,0.1984,0.04558,0.2022,0.2484,0.13568,0.04779,0.24472,0.12075
2010-01-01 15:00,0.3614,0.29205,0.20502,0.09968,0.26728,0.41325,0.21299,0.16343,0.3572,0.31416
2010-01-01 16:00,0.47073,0.19825,0.1323,0.1258,0.46046,0.3246,0.21356,0.45,0.30569,0.15789
2010-01-01 17:00,0.54069,0.1812,0.22196,0.0885,0.52826,0.3705,0.16448,0.39375,0.2867,0.23986
2010-01-01 18:00,0.4475875,0.5286875,0.624,0.087075,0.19575,0.410375,0.3047625,0.296825,0.527625,0.469
2010-01-01 19:00,0.199584,0.389232,0.622432,0.27456,0.16536,0.456192,0.450576,0.288,0.557568,0.75504
2010-01-01 20:00,0.32016,0.40704,0.46944,0.73216,0.3068,0.545648,0.581616,0.148352,0.454528,0.372736
2010-01-01 21:00,0.12688,0.217728,0.23912,0.275616,0.162688,0.136512,0.77584,0.261696,0.264,0.407664
2010-01-01 22:00,0.067375,0.06075,0.15925,0.1654625,0.24455,0.0655875,0.457275,0.07375,0.1744,0.1808
2010-01-01 23:00,0.1638,0.174,0.1194,0.06696,0.10098,0.11484,0.18358,0.0209,0.11904,0.15458
2010-01-02 00:00,0.06625,0.03366,0.10908,0.0852,0.12744,0.09672,0.10317,0.01426,0.07888,0.06372
2010-01-02 01:00,0.064829535,0.039013834,0.078184419,0.025727741,0.059326228,0.070041701,0.059587911,0.052947346,0.032846965,0.059931304
2010-01-02 02:00,0.058936938,0.066295125,0.051009154,0.077334432,0.067552107,0.03993424,0.039349549,0.042997175,0.042958479,0.059347073
2010-01-02 03:00,0.056632515,0.039840613,0.038394122,0.05119094,0.031546,0.054257603,0.055610855,0.030761486,0.039859915,0.038729505
2010-01-02 04:00,0.055003727,0.060604106,0.063450727,0.055585348,0.067204553,0.059528081,0.063211902,0.08032568,0.069844732,0.039602683
2010-01-02 05:00,0.090079003,0.031089767,0.06053881,0.058240851,0.061610285,0.058390497,0.049602432,0.054020593,0.050794549,0.062666569
2010-01-02 06:00,0.006681569,0.005250128,0.006604562,0.005433337,0.004667623,0.004360747,0.003987448,0.006315019,0.007811728,0.005688509
2010-01-02 07:00,0.006753518,0.012288466,0.009555945,0.006528571,0.00751487,0.006484732,0.005894957,0.008574031,0.008491645,0.006022263
2010-01-02 08:00,0.005073901,0.006015261,0.00732167,0.008636993,0.004878025,0.007053772,0.006911279,0.003537309,0.006153362,0.004955904
2010-01-02 09:00,0.012320474,0.012032394,0.010397672,0.007106215,0.008179987,0.009472627,0.007696664,0.009044759,0.007070471,0.008430861
2010-01-02 10:00,0.013704569,0.018353159,0.013470115,0.012657454,0.012782937,0.012277818,0.022091765,0.017430894,0.01443829,0.011139917
2010-01-02 11:00,0.014933235,0.016542137,0.01292918,0.011604607,0.02201804,0.019577661,0.021176788,0.013582516,0.013561241,0.010557918
2010-01-02 12:00,0.334780345,0.229563665,0.240865261,0.248765158,0.171052727,0.269894273,0.307736306,0.166875126,0.286513112,0.142316392
2010-01-02 13:00,0.320619642,0.243720065,0.218463591,0.367301864,0.15590854,0.358086688,0.328314864,0.210992995,0.280223673,0.199970489
2010-01-02 14:00,0.219238228,0.434072351,0.35408644,0.339304028,0.456571081,0.187630651,0.286996377,0.245060693,0.171364475,0.200763847
2010-01-02 15:00,0.229276124,0.206154758,0.18891889,0.274135691,0.359952752,0.120516938,0.152262863,0.216075981,0.234567112,0.160945381
2010-01-02 16:00,0.285629556,0.146552509,0.283627599,0.247542038,0.25289931,0.287822784,0.209010066,0.268351519,0.183389477,0.131657374
2010-01-02 17:00,0.251038882,0.192724998,0.184709969,0.283324755,0.363408668,0.223145673,0.347071216,0.197182218,0.354101443,0.283865584
2010-01-02 18:00,0.424244258,0.506393373,0.34394639,0.367051862,0.253518084,0.362749042,0.563719608,0.311969515,0.432729143,0.277971205
2010-01-02 19:00,0.66464,0.232064,0.3344512,0.5568553,0.6902784,0.4257792,0.36432,0.4214784,0.4270656,0.6793216
2010-01-02 20:00,0.382371158,0.234368691,0.27707508,0.5586944,0.327895683,0.284692708,0.270117911,0.232402211,0.515262516,0.380235839
2010-01-02 21:00,0.309686692,0.304968193,0.280857677,0.366530067,0.230819814,0.398541435,0.346272891,0.181166715,0.311094359,0.174631387
2010-01-02 22:00,0.194951492,0.232495576,0.242815445,0.215021101,0.254586835,0.251965074,0.231818907,0.418521226,0.207533117,0.201965854
2010-01-02 23:00,0.172615219,0.213527558,0.202638949,0.280099652,0.21723603,0.12530167,0.179883229,0.118890036,0.150438855,0.189565468
2010-01-03 00:00,0.035246397,0.01966094,0.022809092,0.207071242,0.021593055,0.023842256,0.026820105,0.02043703,0.037746184,0.025953289
2010-01-03 01:00,0.051863628,0.055269598,0.040194312,0.035123941,0.057328661,0.046193463,0.054640225,0.043606732,0.050663798,0.062958832
2010-01-03 02:00,0.064592503,0.06502964,0.064926308,0.042139198,0.044904334,0.038636437,0.037902064,0.042446502,0.074704482,0.034826372
2010-01-03 03:00,0.045188818,0.040679759,0.057300352,0.070191087,0.041352422,0.055214462,0.043981025,0.034087052,0.026582813,0.0331233
2010-01-03 04:00,0.078433886,0.067183123,0.08513434,0.046409019,0.054938008,0.060361233,0.038635951,0.040042713,0.070976237,0.049220478
2010-01-03 05:00,0.054288685,0.065870271,0.097317495,0.040105574,0.076029181,0.050725739,0.060098468,0.076002819,0.055982134,0.070306975
2010-01-03 06:00,0.005045267,0.00544556,0.005636462,0.005211714,0.003567695,0.00447441,0.005499341,0.009136024,0.006612003,0.007655493
2010-01-03 07:00,0.008439074,0.008985397,0.009878036,0.00614122,0.008118903,0.007160225,0.008326478,0.00897241,0.0072949,0.006716814
2010-01-03 08:00,0.00834506,0.005614331,0.00576091,0.008936158,0.003488668,0.007741698,0.003502959,0.00457464,0.005602925,0.003564733
2010-01-03 09:00,0.010034968,0.009960769,0.011365877,0.004683329,0.010677036,0.010849246,0.00653793,0.008827228,0.007776817,0.006961405
2010-01-03 10:00,0.016993665,0.006925393,0.021740295,0.007932727,0.012459351,0.019168475,0.014089351,0.01606186,0.013776254,0.010266567
2010-01-03 11:00,0.016485786,0.012715388,0.012188671,0.011662588,0.016318455,0.011401183,0.017432266,0.020518507,0.01476648,0.022376047
2010-01-03 12:00,0.269786359,0.181203234,0.261665789,0.22097968,0.27766412,0.164383281,0.249773116,0.128908827,0.191494357,0.28265762
2010-01-03 13:00,0.299209901,0.222486691,0.252494549,0.224413198,0.297718239,0.347614342,0.249525264,0.203790899,0.311111612,0.189263863
2010-01-03 14:00,0.247368233,0.245293645,0.264309529,0.193122004,0.319824973,0.412515977,0.30215845,0.259182835,0.322760163,0.108959817
2010-01-03 15:00,0.219422799,0.183694143,0.19832923,0.246668499,0.405493333,0.141053255,0.245163991,0.220644115,0.318601904,0.424203059
2010-01-03 16:00,0.372338529,0.138072881,0.351426365,0.188846025,0.291609925,0.29438015,0.236959364,0.182471382,0.243919991,0.285508419
2010-01-03 17:00,0.3068253,0.321835452,0.367051862,0.18690645,0.17036489,0.378286943,0.29975902,0.219054669,0.348851069,0.228428305
2010-01-03 18:00,0.424244258,0.264934111,0.39164173,0.463994995,0.389863944,0.185590028,0.280135891,0.228849474,0.267990139,0.352794913
2010-01-03 19:00,0.3584,0.5959008,0.388512,0.36333821,0.406464,0.5046272,0.4579392,0.3244032,0.317952,0.438984
2010-01-03 20:00,0.424084376,0.34980133,0.321191773,0.312912,0.266130326,0.229286134,0.246356275,0.247121017,0.384104243,0.488481638
2010-01-03 21:00,0.22447593,0.251413041,0.229044277,0.21556174,0.269596342,0.185812016,0.307907401,0.376083519,0.268039462,0.290919678
2010-01-03 22:00,0.221841353,0.143506942,0.27321514,0.262064298,0.329365416,0.175474034,0.303572378,0.259267794,0.168546357,0.264747487
2010-01-03 23:00,0.178721539,0.160158328,0.203474472,0.136951477,0.116749845,0.11500731,0.203170645,0.161534484,0.187872081,0.162052777
